Gene Name;Gene ID;Group;Chr;Start;End;Strand;Degree;Closeness;Betweenness;dN/dS Chimp;dN/dS Macaque;dN/dS Mouse;Tajima's D exons;Tajima's D regulatory;Fay and Wu's H exons;Fay and Wu's H regulatory
GDF6;ENSG00000156466;END;8;97154562;97173020;-1;3;0,22;0;0,24;0,06;0,08;-1,515;0,367;0,00014;0,00001
SLC25A12;ENSG00000115840;END;2;172640880;172864766;-1;5;0,23;679,29;-;-;-;-0,92;-0,27;-0,00027;-0,00005
DHX29;ENSG00000067248;END;5;54552073;54603550;-1;2;0,2;17590;0,27;0,15;0,07;-1,755;-1,822;-0,00107;-0,00092
LEMD3;ENSG00000174106;END;12;65563351;65642107;1;-;-;-;0,06;0,25;0,18;-0,966;-1,197;-0,00057;-0,00055
NUAK2;ENSG00000163545;END;1;205271187;205290883;-1;1;0,3;0;0,44;0,12;0,09;-0,602;0,502;-0,00006;-0,00021
PEX11B;ENSG00000131779;END;1;145516252;145523730;1;4;0,2;384,95;0;0,1;0,13;-1,307;-2,015;0,00001;0
SLC18A3;ENSG00000187714;END;10;50818347;50820765;1;-;-;-;0,22;-;0,04;-1,331;-0,822;-0,00143;-0,00025
RAD17;ENSG00000152942;END;5;68665120;68710628;1;21;0,28;19236,3;0,37;0,4;0,19;-0,031;0,727;0,00012;0,00003
COL12A1;ENSG00000111799;END;6;75794042;75915767;-1;-;-;-;0,09;0,12;0,08;-2,087;-1,932;0;-0,0008
LIMS1;ENSG00000169756;END;2;109150857;109303702;1;6;0,26;1465,6;-;0,04;0,06;0,237;0,313;-0,00023;0,00018
UBR5;ENSG00000104517;END;8;103265240;103425069;-1;19;0,31;13679,67;0,12;0,02;0,02;-1,341;-1,217;0,00002;-0,00025
TBX10;ENSG00000167800;END;11;67398774;67407031;-1;-;-;-;0,16;0,16;0,16;0,294;0,271;-0,00084;-0,0003
CLPS;ENSG00000137392;END;6;35762759;35765088;-1;-;-;-;0;0,27;0,18;-0,666;0,233;-0,00133;-0,00041
PHC1;ENSG00000111752;END;12;9066492;9094063;1;7;0,26;2323,91;0,09;0,09;0,11;-0,004;1,223;0,00013;0,00023
CC2D1A;ENSG00000132024;END;19;14017014;14041692;1;-;-;-;0,24;0,37;0,13;0,164;0,052;0,00015;-0,00013
TBK1;ENSG00000183735;END;12;64845660;64895888;1;25;0,32;27864,38;0,29;0,07;0,05;0,41;-0,46;-0,00018;-0,00001
PDE2A;ENSG00000186642;END;11;72287185;72385635;-1;-;-;-;-;-;-;-0,137;0,753;0,00012;0,00002
DYNC2H1;ENSG00000187240;END;11;102980160;103350591;1;2;0,2;8796;0,17;-;0,05;-0,163;0,741;-0,00005;-0,00044
NSRP1;ENSG00000126653;END;17;28442539;28513493;1;-;-;-;0,93;0,39;0,26;0,842;0,219;-0,0004;0,00001
CRB2;ENSG00000148204;END;9;126118449;126142603;1;1;0,22;0;0,3;0,18;0,17;0,364;1,021;0,00013;0,00015
SLC12A2;ENSG00000064651;END;5;127419458;127525380;1;4;0,31;11343,96;0,15;0,07;0,07;0,132;-0,321;0,00014;-0,00004
H3F3A;ENSG00000163041;END;1;226249552;226259702;1;48;0,3;47843,52;-;-;-;-0,616;-0,57;0,0002;0,00013
SMYD1;ENSG00000115593;END;2;88367299;88412906;1;-;-;-;0,12;0,33;0,04;0,997;0,774;-0,00029;-0,00014
DDX5;ENSG00000108654;END;17;62495734;62504317;-1;33;0,31;33283,19;0;0;0,01;-1,377;-1,667;-0,00076;-0,00035
SLC35A1;ENSG00000164414;END;6;88180341;88222054;1;-;-;-;0;-;0,1;1,863;0,454;0,0002;-0,00023
DNM1L;ENSG00000087470;END;12;32832134;32898486;1;4;0,31;39722,19;0;0;0,01;-0,284;0,262;-0,00019;-0,0009
RICTOR;ENSG00000164327;END;5;38938021;39074510;-1;5;0,26;301,27;0,15;0,11;0,04;-0,93;-0,67;-0,0004;-0,00046
LAMTOR1;ENSG00000149357;END;11;71796941;71814433;-1;4;0,25;7970,7;-;0;0,01;-1,265;-1,654;-0,00055;-0,00047
MBD3;ENSG00000071655;END;19;1576639;1592882;-1;29;0,29;4077,44;0;0,01;0,02;0,011;-1,001;-0,00093;-0,0003
SIRT1;ENSG00000096717;END;10;69644427;69678147;1;63;0,32;63042,33;0,17;0,56;0,18;-0,659;-0,235;-0,00031;-0,0002
SLC4A1;ENSG00000004939;END;17;42325753;42345509;-1;7;0,24;19617,8;0,3;0,31;0,14;-0,87;-0,63;-0,00026;-0,00012
HAP1;ENSG00000173805;END;17;39873994;39890896;-1;43;0,28;94560,4;0,61;-;0,24;-0,301;-0,338;-0,00258;-0,00138
XIRP2;ENSG00000163092;END;2;167744997;168116263;1;1;0,21;0;0,38;0,39;0,26;-1,028;-0,794;-0,00074;-0,00076
TOP2B;ENSG00000077097;END;3;25639475;25706398;-1;16;0,3;5902,06;0,08;0,17;0,04;0,241;0,368;0,00014;-0,00024
EGR3;ENSG00000179388;END;8;22545172;22550815;-1;-;-;-;-;0;0,01;-0,418;0,681;0,00016;0,00005
THBS1;ENSG00000137801;END;15;39873280;39891667;1;21;0,26;57660,8;0,15;0,04;0,04;0,029;-0,145;0,00004;-0,00018
IPO9;ENSG00000198700;END;1;201798269;201853422;1;4;0,26;851,11;0;0,02;0,02;-0,544;-0,066;0,00018;0,00012
JAM3;ENSG00000166086;END;11;133938820;134021896;1;3;0,23;279,24;0;0,43;0,17;-0,074;0,787;0,00042;-0,00003
HLXB9,MNX1;ENSG00000130675;END;7;156786745;156803345;-1;-;-;-;0,02;-;0,04;-1,161;-0,46;-0,00079;-0,0002
SSRP1;ENSG00000149136;END;11;57093459;57103351;-1;22;0,29;12111,37;0,23;0,01;0,01;-0,984;-0,962;-0,00165;-0,00046
A1CF;ENSG00000148584;END;10;52566322;52645435;-1;5;0,25;9037,81;0,65;0,19;0,11;-1,44;-0,384;0,00021;0,00005
RBBP6;ENSG00000122257;END;16;24549014;24584184;1;12;0,29;29342,73;0,1;0,11;0,1;0,111;0,621;-0,00017;-0,00017
LDHA;ENSG00000134333;END;11;18415935;18429972;1;5;0,31;27098,15;0,17;0,11;0,06;2,066;1,473;-0,00049;-0,00069
TLN1;ENSG00000137076;END;9;35696945;35732392;-1;10;0,28;9236,48;0,05;0,31;0,02;-1,447;-0,861;-0,00019;-0,00002
WNT1;ENSG00000125084;END;12;49372398;49375459;1;4;0,24;52751;0;0,02;0,01;-0,969;-0,574;0,00001;-0,00006
SRSF1;ENSG00000136450;END;17;56080854;56084707;-1;29;0,32;42802,89;-;-;0;-1,496;-1,362;0,00001;-0,00023
WLS;ENSG00000116729;END;1;68564142;68698803;-1;-;-;-;0,52;0,12;0,12;0,342;0,061;-0,00155;-0,00029
SH3PXD2B;ENSG00000174705;END;5;171752185;171881527;-1;-;-;-;0,36;0,1;0,13;0,823;0,621;-0,00029;-0,00049
GLCE;ENSG00000138604;END;15;69452923;69564556;1;-;-;-;0,5;0,12;0,06;-0,15;-0,328;-0,00013;-0,00047
RAC1;ENSG00000136238;END;7;6414154;6443608;1;84;0,32;221518,6;-;0;0;-0,333;-0,212;0,00006;0,00011
NR5A1;ENSG00000136931;END;9;127243516;127269709;-1;15;0,28;11395,47;-;0,03;0,04;1,99;0,757;-0,0006;-0,00006
NRP2;ENSG00000118257;END;2;206546714;206662857;1;-;-;-;0,08;0,04;0,05;-0,721;-0,075;0,00013;-0,00015
HPGD;ENSG00000164120;END;4;175411328;175444305;-1;-;-;-;0;0,13;0,12;0,883;0,528;-0,00032;-0,00037
FADD;ENSG00000168040;END;11;70049269;70053496;1;34;0,32;24607,26;0,34;0,25;0,1;0,949;0,887;0,00012;0,00022
GABPA;ENSG00000154727;END;21;27106881;27144771;1;8;0,28;1078,98;0;0,03;0,04;-1,268;-0,877;-0,00032;-0,00027
POLE;ENSG00000177084;END;12;133200348;133413387;-1;5;0,27;3012,17;-;-;0,07;0,835;0,803;0,0001;0,00013
SRF;ENSG00000112658;END;6;43139037;43149243;1;37;0,3;30681,64;0,59;0,21;0,06;-1,298;-1,473;0,00009;-0,00027
MAPK6;ENSG00000069956;END;15;52244303;52358462;1;10;0,26;15376,65;0;0,07;0,05;-1,61;-1,024;-0,00061;-0,00072
PIK3CB;ENSG00000051382;END;3;138372860;138553780;-1;4;0,26;318,01;0;0,07;0,04;0,643;0,969;0,00005;0,00002
LATS2;ENSG00000150457;END;13;21547171;21635686;-1;-;-;-;0,08;0,06;0,07;-0,737;0,132;-0,00001;-0,00038
MMP14;ENSG00000157227;END;14;23305766;23318236;1;5;0,25;26252,45;-;0,08;0,03;-0,518;0,716;-0,00002;-0,00004
SREBF2;ENSG00000198911;END;22;42229109;42303312;1;43;0,31;64035,89;-;-;-;-0,366;-0,354;-0,00064;-0,00012
SRC;ENSG00000197122;END;20;35973088;36034453;1;139;0,34;425246,86;0;0,01;0;-1,277;-0,984;-0,00152;-0,00049
GCM2;ENSG00000124827;END;6;10873456;10882174;-1;-;-;-;0,66;0,29;0,38;-1,674;-0,001;0,00008;-0,00009
HDAC7;ENSG00000061273;END;12;48176505;48226915;-1;44;0,31;43186,7;0,4;0,08;0,1;0,718;0,164;-0,00001;0,00012
MAPK7;ENSG00000166484;END;17;19281034;19286857;1;13;0,28;2778,87;0,48;0,13;0,06;-1,104;-1,279;-0,00017;0,00001
MYH11;ENSG00000133392;END;16;15796992;15950890;-1;4;0,27;1478,17;0;0,14;0,01;-0,551;0,27;-0,00032;-0,00034
RANGAP1;ENSG00000100401;END;22;41641615;41682255;-1;11;0,28;4751,12;0,2;0,13;0,09;0,969;1,167;0,00037;0,00015
LGR4;ENSG00000205213;END;11;27387508;27494322;-1;-;-;-;0,22;0,15;0,11;0,276;0,011;0,00035;-0,00007
TK2;ENSG00000166548;END;16;66541906;66586447;-1;-;-;-;0,27;0,52;0,2;-1,3;-1,748;-0,00178;-0,0008
MYOG;ENSG00000122180;END;1;203052260;203055164;-1;13;0,28;4948,07;0,56;0,04;0,04;-1,036;-0,659;0,00005;-0,00029
L3MBTL3;ENSG00000198945;END;6;130334844;130462594;1;1;0,23;0;0,07;0,19;0,1;-0,188;0,838;0,00007;0,00008
EVX2;ENSG00000174279;END;2;176942200;176948641;-1;-;-;-;0,04;0,04;0,03;-0,818;-1,102;-0,0004;-0,00004
NPHP3;ENSG00000113971;END;3;132276986;132441303;-1;1;0,21;0;0,35;-;-;-0,806;-0,987;-0,00013;-0,00019
NFATC1;ENSG00000131196;END;18;77155856;77289325;1;9;0,28;1023;0,11;0,15;0,09;-0,402;0,224;-0,00068;-0,00057
PTCH1,PTCH;ENSG00000185920;END;9;98205262;98279339;-1;1;0,67;0;-;0,14;0,03;-0,596;-0,198;0,00019;-0,00033
C9orf114;ENSG00000198917;END;9;131581930;131592100;-1;-;-;-;0,71;-;0,07;-0,385;-0,374;0,00005;-0,00033
SLC6A4;ENSG00000108576;END;17;28521337;28563020;-1;3;0,25;1262,1;0,15;0,15;0,07;-0,836;-0,645;-0,0005;-0,0001
CFC1;ENSG00000136698;END;2;131350339;131357123;-1;-;-;-;-;-;-;-0,568;-0,568;-;-
KDR;ENSG00000128052;END;4;55944644;55991756;-1;17;0,31;47456,03;0,2;0,13;0,14;-0,113;1,076;-0,00013;0,00006
PRMT1;ENSG00000126457;END;19;50179043;50192286;1;62;0,34;122437,14;-;0,02;0;-0,498;-0,666;-0,00023;-0,00019
KCNJ10;ENSG00000177807;END;1;160007257;160040038;-1;1;0,22;0;0;0;0,01;-0,932;0,343;-0,00007;0,00011
SOX6;ENSG00000110693;END;11;15987995;16761138;-1;4;0,28;2189,17;0,55;0,26;0,07;0,145;0,372;0,00023;-0,00002
NOVA2;ENSG00000104967;END;19;46436992;46476804;-1;-;-;-;0;0;0,01;0,715;-0,221;0,00002;0,00004
IFT88;ENSG00000032742;END;13;21140585;21265503;1;1;0,22;0;0,06;0,1;0,1;0,249;0,703;0,00012;0,00019
DRGX;ENSG00000165606;END;10;50572237;50603497;-1;-;-;-;0,72;0,09;0,14;-1,592;-1,431;0,00025;-0,0004
TRAF3;ENSG00000131323;END;14;103243813;103377837;1;30;0,32;28303,78;0,07;0,1;0,03;-1,314;0,084;-0,00011;-0,0001
RPL27A;ENSG00000166441;END;11;8703958;8736306;1;2;0,31;774,67;-;-;0,02;0,193;-0,064;0,00028;0,00009
EFEMP2;ENSG00000172638;END;11;65633912;65641063;-1;28;0,29;55941,57;0,27;0,24;0,04;1,302;1,232;0;-0,00004
RTEL1-TNFRSF6B;ENSG00000026036;END;20;62290653;62330037;1;3;0,24;3938,44;-;-;-;-0,446;0,565;0,00018;-0,00005
AIP;ENSG00000110711;END;11;67250512;67258574;1;8;0,28;3095,54;0,07;0,09;0,03;-0,88;-0,18;0,00015;0,00005
RECK;ENSG00000122707;END;9;36036430;36124448;1;-;-;-;0,24;0,1;0,06;-0,519;0,244;-0,00033;-0,00013
CTTN;ENSG00000085733;END;11;70244510;70282690;1;20;0,29;22845,79;-;0,13;0,06;-0,414;0,481;0,00014;-0,00004
RAD51;ENSG00000051180;END;15;40986972;41024354;1;39;0,31;68533,53;0,86;0,57;0,14;1,119;1,473;0,00028;0,00007
PIP5K1C;ENSG00000186111;END;19;3630181;3700477;-1;3;0,22;17705,23;0,15;0,13;0,04;-0,355;-0,159;-0,00025;-0,0002
GABPB1;ENSG00000104064;END;15;50569389;50647605;-1;5;0,24;4107,98;0;0;0,02;-0,137;1,154;0,00005;-0,00005
GDF3;ENSG00000184344;END;12;7842378;7848372;-1;-;-;-;2,11;0,27;0,3;-0,443;0,528;0,00032;-0,00092
RAD21;ENSG00000164754;END;8;117858174;117887105;-1;12;0,27;2387,83;0;-;0,02;-0,227;-0,622;-0,00051;-0,00066
RASA3;ENSG00000185989;END;13;114747194;114898086;-1;2;0,25;41,09;0,01;0,12;0,02;0,232;0,615;0,00028;0,00011
ADAM17;ENSG00000151694;END;2;9628615;9695921;-1;4;0,26;7313,63;0;0,35;0,09;2,036;1,769;0,00043;0,0002
TMPRSS6;ENSG00000187045;END;22;37461476;37505603;-1;-;-;-;-;0,11;0,09;0,68;1,259;-0,00013;-0,00037
OSR2;ENSG00000164920;END;8;99956631;99964332;1;-;-;-;0;0,02;0,13;-1,379;-1,846;-0,00054;-0,00015
RIMS1;ENSG00000079841;END;6;72596406;73112845;1;13;0,24;17457,76;0,07;0,11;0,12;-0,325;0,109;0,00012;0,00011
RFX6;ENSG00000185002;END;6;117198375;117253326;1;7;0,26;1785,31;-;-;-;0,06;1,239;-0,00048;-0,00012
PAK4;ENSG00000130669;END;19;39616410;39673456;1;11;0,28;10537,26;0,27;0,07;-;0,159;0,48;-0,00012;-0,00005
SLC40A1;ENSG00000138449;END;2;190425305;190448484;-1;-;-;-;0;0,08;0,12;1,789;1,128;-0,00005;-0,00034
PSENEN;ENSG00000205155;END;19;36236015;36237911;1;4;0,24;0;-;-;-;-0,786;-0,034;0,00011;0,00002
FNTB;ENSG00000257365;END;14;65453438;65529368;1;-;-;-;0;0,06;0,05;-1,132;-0,526;-0,00016;-0,00009
GLRB;ENSG00000109738;END;4;157997209;158093242;1;1;0,2;0;0,07;0,01;0,02;-0,719;-0,272;-0,0002;-0,00039
SHOC2;ENSG00000108061;END;10;112679301;112773425;1;3;0,26;12,57;0;0,03;0,02;-1,405;-0,817;0,00009;-0,00017
KMT2C;ENSG00000055609;END;7;151832010;152133090;-1;14;0,28;3005,29;0,32;0,3;0,18;-2,517;-2,126;-0,00051;-0,00052
UROD;ENSG00000126088;END;1;45477819;45481247;1;2;0,26;0;0,16;0,35;0,11;-0,426;-0,742;0,00037;-0,00001
CDC42;ENSG00000070831;END;1;22379120;22419437;1;98;0,33;365361,14;0;0;0;-0,702;-0,816;0,00002;-0,00018
WDR77;ENSG00000116455;END;1;111982512;111991998;-1;22;0,31;13568,37;0,17;0,13;0,15;-0,515;0,769;0,00018;-0,00005
LHX4;ENSG00000121454;END;1;180199421;180249380;1;3;0,21;2577,13;0;0,21;0,01;-0,844;0,675;-0,00064;-0,00029
CLCN3;ENSG00000109572;END;4;170533784;170644824;1;5;0,25;234,68;0;0,54;0,02;-1,044;-0,265;-0,00067;-0,00002
PMPCB;ENSG00000105819;END;7;102937869;102969958;1;2;0,24;8796;0,5;-;0,1;-0,82;-1,26;-0,00053;-0,00012
GRB2;ENSG00000177885;END;17;73314157;73401790;-1;200;0,35;854807,93;-;0,54;0;0,128;0,003;0,00017;-0,00074
ADAMTS1;ENSG00000154734;END;21;28208606;28217728;-1;2;0,22;190,68;0,04;0,06;0,14;0,503;0,854;-0,00008;-0,00048
MSGN1;ENSG00000151379;END;2;17997763;17998368;1;-;-;-;0,14;0,12;0,13;1,993;0,335;0,00078;0,00022
LMX1A;ENSG00000162761;END;1;165171104;165325952;-1;4;0,23;337,81;0;0;0,03;0,016;0,162;0,0006;-0,00007
PAK2;ENSG00000180370;END;3;196466728;196559518;1;16;0,32;25387,37;0,18;0,04;0,03;-0,459;0,387;-0,00085;-0,00026
SCN1B;ENSG00000105711;END;19;35521588;35531352;1;1;0,2;0;0,41;0,31;0;0,018;0,047;0,00034;0,00004
SOCS3;ENSG00000184557;END;17;76352864;76356158;-1;19;0,29;5795,68;-;0,14;0,02;-0,79;-0,329;-0,00031;0,00004
ATMIN;ENSG00000166454;END;16;81069452;81080963;1;-;-;-;0,7;0,18;0,2;-0,958;-1,327;-0,00101;-0,00047
RPSA;ENSG00000168028;END;3;39448180;39454033;1;3;0,25;8859,59;0;-;-;2,763;2,726;-0,00026;0,00028
HELLS;ENSG00000119969;END;10;96305547;96373662;1;6;0,27;642,01;0,14;0,1;0,09;-0,836;0,214;0,00015;0,00012
FKBP4;ENSG00000004478;END;12;2904119;2914576;1;22;0,29;29194,06;0,31;0,14;0,1;-1,61;-1,191;0,00011;-0,00041
INSM1;ENSG00000173404;END;20;20348765;20351590;1;5;0,27;1631,42;0,11;-;0,07;-0,483;0,248;0,00007;-0,00005
HSD17B7;ENSG00000132196;END;1;162760492;162782607;1;-;-;-;0,14;0,7;0,25;0,117;-0,323;-0,00076;-0,00015
AZIN1;ENSG00000155096;END;8;103838585;103906092;-1;3;0,24;8796;0;0,11;0,08;0,033;0,135;0,00032;-0,00006
PRKCI;ENSG00000163558;END;3;169940153;170023769;1;23;0,32;33850,19;0;0;0,01;-1,811;-1,458;-0,00049;-0,00148
TINF2;ENSG00000092330;END;14;24708849;24711880;-1;5;0,26;74,3;0,59;0,36;0,38;-1,778;-1,105;0,00003;-0,00006
AMD1;ENSG00000123505;END;6;111195973;111216916;1;1;0;0;0;0,15;-;-1,277;-1,277;0,00018;-0,00048
SLC19A1;ENSG00000173638;END;21;46913486;46964325;-1;-;-;-;0,11;0,5;0,08;0,899;0,867;-0,0004;-0,00032
TAPT1;ENSG00000169762;END;4;16162128;16229033;-1;-;-;-;-;-;-;0,558;0,315;-0,00003;0,00026
CCDC174;ENSG00000154781;END;3;14693271;14714166;1;1;0,24;0;0;0,21;0,18;1,097;0,455;-0,00028;0,00002
SLC25A37;ENSG00000147454;END;8;23386318;23432976;1;-;-;-;0,07;0,33;0,07;-0,072;0,846;-0,00143;-0,00085
ITSN1;ENSG00000205726;END;21;35014706;35272165;1;16;0,28;22379,62;0,08;-;0,05;0,376;-0,172;-0,0002;-0,00004
AKIRIN2;ENSG00000135334;END;6;88384790;88411927;-1;3;0,24;246,18;0;0;0,13;0,229;0,034;0,00012;0,00004
PPM1D;ENSG00000170836;END;17;58677544;58741849;1;3;0,27;355,62;0,42;0,13;0,12;-0,969;-2,542;0;-0,00006
MAP2K7;ENSG00000076984;END;19;7968728;7979363;1;14;0,27;4227,87;0;0,22;0,01;-1,268;-0,57;0,00023;0,0001
ANGPTL4;ENSG00000167772;END;19;8428173;8439257;1;-;-;-;0,21;0,21;0,12;0,399;0,334;0,0002;0,00019
SBF1;ENSG00000100241;END;22;50885184;50913454;-1;4;0,26;8905,44;0,07;0,12;0,04;-0,385;-0,156;0,00028;0,00007
SIX2;ENSG00000170577;END;2;45232300;45236569;-1;-;-;-;-;0;0,01;-0,983;0,832;0,00018;0,00004
STUB1;ENSG00000103266;END;16;730224;732799;1;63;0,34;89675,29;0;0;0,01;-0,451;-0,813;-0,00067;-0,00007
FLRT3;ENSG00000125848;END;20;14303634;14318262;-1;-;-;-;0;0,02;0,05;-0,055;-0,853;0,00017;0,00024
NUP50;ENSG00000093000;END;22;45559722;45583892;1;6;0,26;614,81;-;0,17;-;2,638;1,909;0,0003;-0,00005
PLCB3;ENSG00000149782;END;11;64018995;64036622;1;2;0,22;76,07;0,05;0,12;0,04;-0,471;-0,448;0,00014;0,00011
KDM6B;ENSG00000132510;END;17;7743222;7758114;1;5;0,27;323,33;0,26;0,23;0,1;-0,7;-1,261;0,00001;0,00005
LTBP4;ENSG00000090006;END;19;41098789;41135725;1;1;0,24;0;0,33;0,13;0,09;0,966;0,831;-0,00023;0,00008
REST;ENSG00000084093;END;4;57774075;57802010;1;18;0,29;1117,73;-;-;-;-0,658;0,998;-0,00011;0,00014
CDK8;ENSG00000132964;END;13;26828276;26979375;1;41;0,3;5858,52;0;0;0,02;-1,279;-1,253;-0,00042;-0,00047
IKBKB;ENSG00000104365;END;8;42128820;42189973;1;41;0,33;40632,35;0,09;0,02;0,06;-1,447;-1,498;-0,00022;-0,00036
TSG101;ENSG00000074319;END;11;18489883;18548779;-1;38;0,33;93104,64;0;0,4;0,06;0,015;0,386;-0,00016;0
ELK3;ENSG00000111145;END;12;96588160;96663613;1;1;0,23;0;0,11;0,08;0,09;-1,001;-0,252;-0,00024;0,00005
PKP2;ENSG00000057294;END;12;32943679;33049774;-1;11;0,27;2891,04;0,22;0,51;0,14;-0,181;0,129;-0,00022;-0,00041
DLL4;ENSG00000128917;END;15;41221538;41231237;1;-;-;-;0,12;0,05;0,13;-0,794;-0,374;0,00007;0,00005
DLX3;ENSG00000064195;END;17;48067369;48072588;-1;-;-;-;-;0;0,02;-0,814;-0,772;-0,00097;-0,0004
PPP2CA;ENSG00000113575;END;5;133530025;133561833;-1;69;0,31;159992,91;0,75;0;0,01;-0,452;-0,404;-0,00021;-0,0009
SETD7;ENSG00000145391;END;4;140417095;140477928;-1;13;0,29;999,97;0;0;0,03;-0,485;0,203;-0,00045;-0,00016
RARA;ENSG00000131759;END;17;38465444;38513094;1;71;0,34;103031,15;0,23;0,25;0,01;-2,138;-2,022;-0,00094;-0,00025
FLII;ENSG00000177731;END;17;18148150;18162230;-1;7;0,27;10426,22;0,08;0,05;0,03;-1,671;-0,601;-0,00028;-0,0001
LMNB2;ENSG00000176619;END;19;2427636;2456994;-1;2;0,25;0;0,1;0,03;0,04;0,363;0,218;-0,00016;-0,00009
CLNS1A;ENSG00000074201;END;11;77225981;77348850;-1;11;0,26;1355,23;0,3;0,54;0,11;-0,541;-0,325;-0,00022;-0,00028
SMAD1;ENSG00000170365;END;4;146402346;146479231;1;51;0,33;51441,54;0,18;0;0,01;-1,383;-0,977;-0,00052;-0,00051
UBE4B;ENSG00000130939;END;1;10092890;10241297;1;8;0,27;450,94;0,16;0,03;0,02;-1,85;-1,935;-0,0006;-0,00086
POGLUT1,KTELC1;ENSG00000163389;END;3;119187785;119213555;1;-;-;-;0;0,08;0,1;0,121;0,753;0,00031;0,00026
RAD9B;ENSG00000151164;END;12;110939460;110969891;1;4;0,24;219,4;1,03;0,39;0,33;-1,701;-1,566;0,00004;-0,0002
CASP9;ENSG00000132906;END;1;15817327;15853029;-1;17;0,31;11876,11;0,31;0,36;0,23;1,556;2,852;-0,00003;0,00016
RYK;ENSG00000163785;END;3;133794023;133969689;-1;2;0,22;13,33;0,24;0,12;0,06;-0,892;-0,411;-0,00039;-0,00032
GSC;ENSG00000133937;END;14;95234553;95236562;-1;1;0,2;0;0,07;0,01;0,02;-0,832;0,098;0,00003;0,00012
CAPN5;ENSG00000149260;END;11;76777979;76837201;1;-;-;-;-;0,08;0,05;-0,185;0,232;0,0002;0,00007
CHRNA7;ENSG00000175344;END;15;32322691;32464722;1;2;0,24;8796;-;-;-;-0,017;-0,013;0,00021;-0,00027
HOXC13;ENSG00000123364;END;12;54332535;54340328;1;5;0,24;540,07;-;-;-;0,604;0,045;-0,00009;-0,00004
INTS1;ENSG00000164880;END;7;1509913;1545489;-1;30;0,27;27264,46;-;-;0,03;0,173;0,809;-0,00009;-0,00027
GRIA2;ENSG00000120251;END;4;158125334;158287227;1;11;0,26;6139,23;0;0,01;0,02;-0,565;-0,818;0,00003;-0,00003
SZT2;ENSG00000198198;END;1;43855553;43918321;1;-;-;-;-;0,3;0,09;-0,053;0,552;0,0001;0,0001
DAP3;ENSG00000132676;END;1;155657751;155708803;1;16;0,32;13306,16;0,19;0,28;0,18;-1,3;-0,729;0,00018;-0,00018
SMARCA4;ENSG00000127616;END;19;11071598;11176071;1;120;0,33;164626,97;-;-;-;-1,07;-0,224;0,00006;-0,00028
SMPD3;ENSG00000103056;END;16;68392231;68482591;-1;-;-;-;0,05;0,03;0,07;-0,131;0,108;-0,00008;-0,00017
CELSR1;ENSG00000075275;END;22;46756731;46933067;-1;1;0,19;0;0,11;-;0,09;-1,124;0,251;-0,00111;-0,00083
CDC7;ENSG00000097046;END;1;91966408;91991321;1;12;0,27;3143,33;-;0,37;0,23;0,433;0,371;-0,00018;0,00013
ROR1;ENSG00000185483;END;1;64239693;64647181;1;-;-;-;0,12;0,03;0,03;0,636;0,419;-0,00002;-0,00045
B4GALT5;ENSG00000158470;END;20;48249482;48330415;-1;-;-;-;0,07;0,03;0,04;-0,21;0,254;0,00032;0,00006
SEL1L;ENSG00000071537;END;14;81937893;82000205;-1;6;0,24;271,78;0,05;0,08;0,08;-2,293;-1,666;-0,00056;-0,00051
FGF18;ENSG00000156427;END;5;170846660;170884627;1;-;-;-;0;0,23;0,01;-1,07;0,372;0,00009;-0,00001
TRIO;ENSG00000038382;END;5;14143811;14532235;1;5;0,26;991,23;0,03;-;0,03;-0,017;-0,006;-0,00021;-0,00013
S1PR4;ENSG00000125910;END;19;3172344;3180329;1;2;0,23;28,72;0;0,03;0,06;-1,797;0,294;0,00019;-0,00026
SLC23A2;ENSG00000089057;END;20;4833002;4990939;-1;-;-;-;0;0;0,06;-0,986;0,121;-0,00195;-0,00034
DVL2;ENSG00000004975;END;17;7128660;7137864;-1;45;0,31;125356,61;0;0,05;0,02;0,263;-0,289;-0,00024;-0,00009
LMF1;ENSG00000103227;END;16;903634;1031318;-1;-;-;-;0,13;0,14;0,09;-0,412;0,521;-0,00142;-0,00081
ATP6V0C;ENSG00000185883;END;16;2563871;2570219;1;2;0,24;2265,1;0,09;0,09;0,06;-1,318;-2,266;0,00007;0,00004
HECTD1;ENSG00000092148;END;14;31569318;31677010;-1;1;0,21;0;0,32;0;0,01;-0,278;-0,219;-0,00017;-0,00022
HMGB1;ENSG00000189403;END;13;31032884;31191734;-1;37;0,33;128131,62;0,92;0,65;0,01;1,046;-0,279;0,00017;-0,00037
GAPDH;ENSG00000111640;END;12;6643093;6647537;1;31;0,32;48702,67;0;0,06;-;0,373;0,42;-0,00153;-0,0002
NUMA1;ENSG00000137497;END;11;71713910;71791739;-1;15;0,28;12341,67;0,34;0,27;0,14;-1,897;-1,762;-0,00043;-0,00095
CNOT3;ENSG00000088038;END;19;54641444;54659419;1;4;0,24;899,14;0;0,28;0,06;0,958;0,648;0,00024;0,00007
APAF1;ENSG00000120868;END;12;99038919;99129204;1;10;0,27;4236,2;0,38;0,3;0,14;-1,065;-0,514;-0,00045;-0,00014
LHX5;ENSG00000089116;END;12;113899838;113910085;-1;-;-;-;0;0;0,01;-1,366;-0,967;0,00009;-0,00052
