#;Symbol;Description;Category;Score;Evidence;PubmedIds
118;PIN1;Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1;Protein Coding;27.12;DISEASES inferred 15;18007120 1736103117965833 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
PIN1::GH19J009834;TSS distance: +0.1kb ;;;Curated enhancer-disease association 23 14;25910213;
;Elite enhancer;;;;;
;;;;;;
119;GRIN2B;Glutamate Ionotropic Receptor NMDA Type Subunit 2B;Protein Coding;26.84;DISEASES inferred 15;189 838 931 153 272 000 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
120;IL1A;Interleukin 1 Alpha;Protein Coding;26.74;DISEASES inferred 15;7830934 749459715201366 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
121;TFCP2;Transcription Factor CP2;Protein Coding;26.74;DISEASES inferred 15;1 671 008 915 860 460
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
122;ADAM17;ADAM Metallopeptidase Domain 17;Protein Coding;26.36;DISEASES inferred 15;1 923 476 511 032 900
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
123;MAPK1;Mitogen-Activated Protein Kinase 1;Protein Coding;26.04;DISEASES inferred 15;17064357 1237990517760871 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
124;KCNIP3;Potassium Voltage-Gated Channel Interacting Protein 3;Protein Coding;25.87;DISEASES inferred 15;157 701 501 107 213 000 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
125;COX5A;Cytochrome C Oxidase Subunit 5A;Protein Coding;25.21;DISEASES inferred 15;10858595 146757369030703 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
126;NOS1;Nitric Oxide Synthase 1;Protein Coding;25.08;DISEASES inferred 15;10964481 122102888883932 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
127;SLC6A4;Solute Carrier Family 6 Member 4;Protein Coding;24.79;DISEASES inferred 15;16640648 2019042910771175 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
128;BDNF;Brain Derived Neurotrophic Factor;Protein Coding;24.69;DISEASES inferred 15;12456067 1265451412358753 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
129;OGT;O-Linked N-Acetylglucosamine (GlcNAc) Transferase;Protein Coding;24.64;DISEASES inferred 15;1 671 429 512 911 630
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
130;NGF;Nerve Growth Factor;Protein Coding;24.56;DISEASES inferred 15;8282080 1019882517404842 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
131;PICALM;Phosphatidylinositol Binding Clathrin Assembly Protein;Protein Coding;24.47;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
132;CAT;Catalase;Protein Coding;24.42;DISEASES inferred 15;18248894 20768281372157 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
133;CRH;Corticotropin Releasing Hormone;Protein Coding;24.34;DISEASES inferred 15;11442356 76536977477348 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
134;GDNF;Glial Cell Derived Neurotrophic Factor;Protein Coding;24.3;DISEASES inferred 15;1 958 443 816 787 830
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
135;APLP1;Amyloid Beta Precursor Like Protein 1;Protein Coding;23.68;DISEASES inferred 15;9444352 952158810578233 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
136;CLU;Clusterin;Protein Coding;23.52;DISEASES inferred 15;16490286 877495910502582 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
CLU::GH08J027598;TSS distance: +16.3kb ;;;Curated enhancer-disease association 23 14;28973302;
;Elite enhancer ;;;;;
;with elite association with CLU;;;;;
;;;;;;
137;CIB1;Calcium And Integrin Binding 1;Protein Coding;23.46;DISEASES inferred 15;15685448
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
138;CYP46A1;Cytochrome P450 Family 46 Subfamily A Member 1;Protein Coding;23.44;DISEASES inferred 15;19286353 1503478119363267 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
139;MAPK3;Mitogen-Activated Protein Kinase 3;Protein Coding;23.22;DISEASES inferred 15;1 692 079 811 303 790
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
140;SQSTM1;Sequestosome 1;Protein Coding;23.17;DISEASES inferred 15;17237936 1955742319481605 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
141;GRIN1;Glutamate Ionotropic Receptor NMDA Type Subunit 1;Protein Coding;23.16;DISEASES inferred 15;11532724 1179316411844485 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
142;CD40;CD40 Molecule;Protein Coding;23.09;DISEASES inferred 15;11578772 1112153717114447 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
143;S100B;S100 Calcium Binding Protein B;Protein Coding;22.89;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
144;UBQLN1;Ubiquilin 1;Protein Coding;22.82;DISEASES inferred 15;15745979 1621429017704509 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
145;MSR1;Macrophage Scavenger Receptor 1;Protein Coding;22.82;DISEASES inferred 15;95 485 861 237 990 700 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
146;SYP;Synaptophysin;Protein Coding;22.73;DISEASES inferred 15;9598683 803887010197819 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
147;EIF2AK2;Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2;Protein Coding;22.72;DISEASES inferred 15;14765129 1658119317420072 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
148;PCSK1N;Proprotein Convertase Subtilisin/Kexin Type 1 Inhibitor;Protein Coding;22.68;DISEASES inferred 15;14746899
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
149;TM2D1;TM2 Domain Containing 1;Protein Coding;22.64;Novoseek inferred 55;193 762 742 047 737 000 000 000
;;;;;GeneCards inferred via(show sections);
150;CASP9;Caspase 9;Protein Coding;22.5;DISEASES inferred 15;1 250 542 617 917 160
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
151;NRGN;Neurogranin;Protein Coding;22.42;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
152;REG1A;Regenerating Family Member 1 Alpha;Protein Coding;22.32;DISEASES inferred 15;7 607 222 239 482 610 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
153;TARDBP;TAR DNA Binding Protein;Protein Coding;22.13;DISEASES inferred 15;18634762 1859225518929508 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
154;GFAP;Glial Fibrillary Acidic Protein;Protein Coding;22.1;DISEASES inferred 15;1598026 167362479879683 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
155;TNFRSF1A;TNF Receptor Superfamily Member 1A;Protein Coding;22.07;DISEASES inferred 15;20110607
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
156;NQO1;NAD(P)H Quinone Dehydrogenase 1;Protein Coding;22.01;DISEASES inferred 15;107 142 721 702 715 000 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
157;RTN4;Reticulon 4;Protein Coding;21.92;DISEASES inferred 15;1 100 612 516 772 860
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
158;CASP2;Caspase 2;Protein Coding;21.88;DISEASES inferred 15;9507158
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
159;TF;Transferrin;Protein Coding;21.83;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
160;MEOX2;Mesenchyme Homeobox 2;Protein Coding;21.82;DISEASES inferred 15;16116430
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
161;GRN;Granulin Precursor;Protein Coding;21.8;DISEASES inferred 15;19158106 2038730219625741 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
GRN::MIR107 47;MIR107 Macro RNA (hsa-miR-107) targets GRN;;;;;
162;MAP2;Microtubule Associated Protein 2;Protein Coding;21.74;DISEASES inferred 15;7891887 89541028955102 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
163;EXOC3L2;Exocyst Complex Component 3 Like 2;Protein Coding;21.65;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
164;NGFR;Nerve Growth Factor Receptor;Protein Coding;21.62;DISEASES inferred 15;1464766 168163661436650 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
165;GRIN2A;Glutamate Ionotropic Receptor NMDA Type Subunit 2A;Protein Coding;21.53;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
166;MAOB;Monoamine Oxidase B;Protein Coding;21.48;DISEASES inferred 15;7816197 881516510867219 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
167;CHRNA7;Cholinergic Receptor Nicotinic Alpha 7 Subunit;Protein Coding;21.46;DISEASES inferred 15;11958863 1749370918078695 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
168;CYCS;Cytochrome C, Somatic;Protein Coding;21.44;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
169;GLRX;Glutaredoxin;Protein Coding;21.29;DISEASES inferred 15;16311508
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
170;GPR3;G Protein-Coupled Receptor 3;Protein Coding;21.28;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
171;GRK2;G Protein-Coupled Receptor Kinase 2;Protein Coding;21.23;DISEASES inferred 15;17146290 1700046920204079 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
172;NTRK1;Neurotrophic Receptor Tyrosine Kinase 1;Protein Coding;20.98;DISEASES inferred 15;8931004 90517469184126 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
173;TTBK1;Tau Tubulin Kinase 1;Protein Coding;20.96;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
174;APBA3;Amyloid Beta Precursor Protein Binding Family A Member 3;Protein Coding;20.95;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
175;APBB3;Amyloid Beta Precursor Protein Binding Family B Member 3;Protein Coding;20.85;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
176;DNMBP;Dynamin Binding Protein;Protein Coding;20.82;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
177;PTGS2;Prostaglandin-Endoperoxide Synthase 2;Protein Coding;20.8;DISEASES inferred 15;9740394 1118107316300681 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
178;MT-ND2;Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 2;Protein Coding;20.75;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
179;MARK4;Microtubule Affinity Regulating Kinase 4;Protein Coding;20.72;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
180;VEGFA;Vascular Endothelial Growth Factor A;Protein Coding;20.64;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
181;TMED10;Transmembrane P24 Trafficking Protein 10;Protein Coding;20.62;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
182;CALM1;Calmodulin 1;Protein Coding;20.57;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
183;APH1B;Aph-1 Homolog B, Gamma-Secretase Subunit;Protein Coding;20.55;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
184;CST3;Cystatin C;Protein Coding;20.43;DISEASES inferred 15;16325785 1929356616213753 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
185;CASP8;Caspase 8;Protein Coding;20.42;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
186;CALM2;Calmodulin 2;Protein Coding;20.37;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
187;CALM3;Calmodulin 3;Protein Coding;20.35;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
188;TTR;Transthyretin;Protein Coding;20.33;DISEASES inferred 15;18429966 1112707816698124 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
189;FRMD4A;FERM Domain Containing 4A;Protein Coding;20.31;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
190;VPS26A;VPS26, Retromer Complex Component A;Protein Coding;20.26;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
191;PTPA;Protein Phosphatase 2 Phosphatase Activator;Protein Coding;20.24;DISEASES inferred 15;17662457 1927884117086192 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
192;SORCS3;Sortilin Related VPS10 Domain Containing Receptor 3;Protein Coding;20.23;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
193;GAL;Galanin And GMAP Prepropeptide;Protein Coding;20.23;DISEASES inferred 15;7510783 992817911826038 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
194;MARK1;Microtubule Affinity Regulating Kinase 1;Protein Coding;20.21;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
195;DLST;Dihydrolipoamide S-Succinyltransferase;Protein Coding;20.2;DISEASES inferred 15;11825528 79740089894876 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
196;RTN3;Reticulon 3;Protein Coding;20.11;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
197;STH;Saitohin;Protein Coding;20.1;DISEASES inferred 15;12588928 1660307712865131 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
198;SEMA3A;Semaphorin 3A;Protein Coding;20.05;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
199;SLC30A6;Solute Carrier Family 30 Member 6;Protein Coding;20.01;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
200;DCHS2;Dachsous Cadherin-Related 2;Protein Coding;19.96;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
201;STMN2;Stathmin 2;Protein Coding;19.86;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
202;FAS;Fas Cell Surface Death Receptor;Protein Coding;19.83;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
203;SOD1;Superoxide Dismutase 1;Protein Coding;19.69;DISEASES inferred 15;11828555 78567481984240 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
204;ITPR1;Inositol 1,4,5-Trisphosphate Receptor Type 1;Protein Coding;19.65;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
205;ABCA1;ATP Binding Cassette Subfamily A Member 1;Protein Coding;19.59;DISEASES inferred 15;17324514 1528843216596262 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
206;NTRK2;Neurotrophic Receptor Tyrosine Kinase 2;Protein Coding;19.57;DISEASES inferred 15;15726264 170698778931004 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
207;CSNK1D;Casein Kinase 1 Delta;Protein Coding;19.54;Novoseek inferred 55;147 619 501 081 474 000 000 000
;;;;;GeneCards inferred via(show sections);
208;CASP7;Caspase 7;Protein Coding;19.53;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
209;RELN;Reelin;Protein Coding;19.46;DISEASES inferred 15;18599960 1656761317360894 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
210;RYR3;Ryanodine Receptor 3;Protein Coding;19.46;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
211;MALRD1;MAM And LDL Receptor Class A Domain Containing 1;Protein Coding;19.43;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
212;LPL;Lipoprotein Lipase;Protein Coding;19.42;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
213;DKK1;Dickkopf WNT Signaling Pathway Inhibitor 1;Protein Coding;19.41;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
214;AATF;Apoptosis Antagonizing Transcription Factor;Protein Coding;19.39;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
215;HMOX1;Heme Oxygenase 1;Protein Coding;19.37;DISEASES inferred 15;18841019 754393511572959 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
216;SNCG;Synuclein Gamma;Protein Coding;19.33;DISEASES inferred 15;11433431 904485710777786 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
217;LRP8;LDL Receptor Related Protein 8;Protein Coding;19.32;DISEASES inferred 15;1 239 901 820 208 360
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
218;CTNNA3;Catenin Alpha 3;Protein Coding;19.31;DISEASES inferred 15;16199552 1720913316327352 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
219;ERN1;Endoplasmic Reticulum To Nucleus Signaling 1;Protein Coding;19.28;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
220;APOC1;Apolipoprotein C1;Protein Coding;19.28;DISEASES inferred 15;11825674 1470597711702052 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
221;PADI2;Peptidyl Arginine Deiminase 2;Protein Coding;19.25;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
222;CAPN1;Calpain 1;Protein Coding;19.19;Novoseek inferred 55;8737608 862278018396356 (more) 
;;;;;GeneCards inferred via(show sections);
223;SLC1A2;Solute Carrier Family 1 Member 2;Protein Coding;19.19;DISEASES inferred 15;20152809 183264979502218 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
224;SLC18A3;Solute Carrier Family 18 Member A3;Protein Coding;19.16;DISEASES inferred 15;10421878 933097216516472 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
225;SLC1A3;Solute Carrier Family 1 Member 3;Protein Coding;19.09;DISEASES inferred 15;8659934 997282411826152 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
226;ANKS1B;Ankyrin Repeat And Sterile Alpha Motif Domain Containing 1B;Protein Coding;19.06;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
227;LDLR;Low Density Lipoprotein Receptor;Protein Coding;19.04;DISEASES inferred 15;15689450 2023241617901559 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
228;ITPR3;Inositol 1,4,5-Trisphosphate Receptor Type 3;Protein Coding;19.03;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
229;TNFRSF21;TNF Receptor Superfamily Member 21;Protein Coding;19.01;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
230;MAPK8;Mitogen-Activated Protein Kinase 8;Protein Coding;19;DISEASES inferred 15;10101227 1218334914989595 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
231;COX4I1;Cytochrome C Oxidase Subunit 4I1;Protein Coding;18.94;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
232;MAP1B;Microtubule Associated Protein 1B;Protein Coding;18.85;DISEASES inferred 15;9589389 19090792361014 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
233;GAP43;Growth Associated Protein 43;Protein Coding;18.84;DISEASES inferred 15;9011750 1121575711351137 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
234;CALML5;Calmodulin Like 5;Protein Coding;18.8;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
235;DLG4;Discs Large MAGUK Scaffold Protein 4;Protein Coding;18.75;DISEASES inferred 15;18424056
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
236;PLCB1;Phospholipase C Beta 1;Protein Coding;18.73;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
237;SLC39A1;Solute Carrier Family 39 Member 1;Protein Coding;18.73;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
238;EIF2AK3;Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3;Protein Coding;18.71;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
239;PPARG;Peroxisome Proliferator Activated Receptor Gamma;Protein Coding;18.59;DISEASES inferred 15;18072811 1599344119631630 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
240;MT-CO2;Mitochondrially Encoded Cytochrome C Oxidase II;Protein Coding;18.58;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
241;CREB1;CAMP Responsive Element Binding Protein 1;Protein Coding;18.58;DISEASES inferred 15;17908236 1127867916491164 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
242;ATP5PD;ATP Synthase Peripheral Stalk Subunit D;Protein Coding;18.58;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
243;NDRG2;NDRG Family Member 2;Protein Coding;18.58;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
244;CAPN2;Calpain 2;Protein Coding;18.55;Novoseek inferred 55;96 543 548 622 780
;;;;;GeneCards inferred via(show sections);
245;APAF1;Apoptotic Peptidase Activating Factor 1;Protein Coding;18.41;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
246;HTR6;5-Hydroxytryptamine Receptor 6;Protein Coding;18.36;DISEASES inferred 15;15531082 1172582012618306 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
247;CHRNA4;Cholinergic Receptor Nicotinic Alpha 4 Subunit;Protein Coding;18.34;DISEASES inferred 15;163 321 751 502 616 000 000 000
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
248;PPP3CA;Protein Phosphatase 3 Catalytic Subunit Alpha;Protein Coding;18.33;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
249;MT-CO1;Mitochondrially Encoded Cytochrome C Oxidase I;Protein Coding;18.3;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
250;KLK8;Kallikrein Related Peptidase 8;Protein Coding;18.24;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
251;FPR2;Formyl Peptide Receptor 2;Protein Coding;18.23;DISEASES inferred 15;16219804 1878526916339765 (more) 
;;;;;Novoseek inferred 55;
;;;;;GeneCards inferred via(show sections);
252;ASAH2B;N-Acylsphingosine Amidohydrolase 2B;Protein Coding;18.22;DISEASES inferred 15;
;;;;;GeneCards inferred via(show sections);
