Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CCNB1","Cyclin B1","Protein Coding","54","GC05P069167","4.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB1"
"MROH8","Maestro Heat Like Repeat Family Member 8","Protein Coding","33","GC20M037101","4.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MROH8"
"JMJD1C","Jumonji Domain Containing 1C","Protein Coding","47","GC10M063167","4.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JMJD1C"
"EZR","Ezrin","Protein Coding","52","GC06M158765","4.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZR"
"LRRK1","Leucine Rich Repeat Kinase 1","Protein Coding","44","GC15P100919","4.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK1"
"ACKR2","Atypical Chemokine Receptor 2","Protein Coding","41","GC03P042804","4.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR2"
"PHB","Prohibitin","Protein Coding","52","GC17M049404","4.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHB"
"STN1","STN1, CST Complex Subunit","Protein Coding","36","GC10M103872","4.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STN1"
"ASTN2","Astrotactin 2","Protein Coding","42","GC09M116425","4.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASTN2"
"COASY","Coenzyme A Synthase","Protein Coding","52","GC17P042561","4.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COASY"
"RXRA","Retinoid X Receptor Alpha","Protein Coding","57","GC09P134317","4.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA"
"SERPING1","Serpin Family G Member 1","Protein Coding","54","GC11P057615","4.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPING1"
"IL1R2","Interleukin 1 Receptor Type 2","Protein Coding","51","GC02P101991","4.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R2"
"HAP1","Huntingtin Associated Protein 1","Protein Coding","46","GC17M041717","4.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAP1"
"CFL2","Cofilin 2","Protein Coding","52","GC14M034706","4.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFL2"
"RASGRP2","RAS Guanyl Releasing Protein 2","Protein Coding","52","GC11M064744","4.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP2"
"PTPN3","Protein Tyrosine Phosphatase, Non-Receptor Type 3","Protein Coding","50","GC09M109375","4.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN3"
"TUBG1","Tubulin Gamma 1","Protein Coding","54","GC17P042609","4.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBG1"
"TRIM37","Tripartite Motif Containing 37","Protein Coding","49","GC17M058982","4.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM37"
"AFG3L2","AFG3 Like Matrix AAA Peptidase Subunit 2","Protein Coding","50","GC18M012328","4.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFG3L2"
"PLCD1","Phospholipase C Delta 1","Protein Coding","55","GC03M038023","4.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCD1"
"OCA2","OCA2 Melanosomal Transmembrane Protein","Protein Coding","48","GC15M027754","4.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCA2"
"STOX1","Storkhead Box 1","Protein Coding","43","GC10P068827","4.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STOX1"
"PTPRG","Protein Tyrosine Phosphatase, Receptor Type G","Protein Coding","48","GC03P061522","4.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRG"
"CYP3A5","Cytochrome P450 Family 3 Subfamily A Member 5","Protein Coding","54","GC07M099648","4.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A5"
"CCT5","Chaperonin Containing TCP1 Subunit 5","Protein Coding","49","GC05P010236","4.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT5"
"ITGA7","Integrin Subunit Alpha 7","Protein Coding","53","GC12M055684","4.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA7"
"PDK3","Pyruvate Dehydrogenase Kinase 3","Protein Coding","53","GC0XP024393","4.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDK3"
"CSF1R","Colony Stimulating Factor 1 Receptor","Protein Coding","59","GC05M150053","4.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R"
"GMPPB","GDP-Mannose Pyrophosphorylase B","Protein Coding","50","GC03M049716","4.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMPPB"
"OSM","Oncostatin M","Protein Coding","50","GC22M030262","4.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSM"
"CEBPB","CCAAT Enhancer Binding Protein Beta","Protein Coding","50","GC20P050190","4.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPB"
"CYC1","Cytochrome C1","Protein Coding","52","GC08P144095","4.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYC1"
"CCDC40","Coiled-Coil Domain Containing 40","Protein Coding","42","GC17P080037","4.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC40"
"MIR128-2","MicroRNA 128-2","RNA Gene","20","GC03P035754","4.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-2"
"MIP","Major Intrinsic Protein Of Lens Fiber","Protein Coding","47","GC12M056449","4.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIP"
"SYT1","Synaptotagmin 1","Protein Coding","51","GC12P078863","4.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT1"
"MIR124-1","MicroRNA 124-1","RNA Gene","20","GC08M009901","4.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-1"
"ANGPT1","Angiopoietin 1","Protein Coding","52","GC08M107246","4.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"WARS","Tryptophanyl-TRNA Synthetase","Protein Coding","53","GC14M100333","4.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WARS"
"SREK1IP1","SREK1 Interacting Protein 1","Protein Coding","36","GC05M064718","4.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREK1IP1"
"PRKCH","Protein Kinase C Eta","Protein Coding","57","GC14P061187","4.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCH"
"PVT1","Pvt1 Oncogene","RNA Gene","24","GC08P127805","4.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"TNFRSF6B","TNF Receptor Superfamily Member 6b","Protein Coding","48","GC20P063696","4.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF6B"
"MIR27A","MicroRNA 27a","RNA Gene","22","GC19M013919","4.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"MLX","MLX, MAX Dimerization Protein","Protein Coding","49","GC17P042567","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLX"
"HPSE2","Heparanase 2 (Inactive)","Protein Coding","45","GC10M098457","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE2"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","48","GC14M024234","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"ITGA8","Integrin Subunit Alpha 8","Protein Coding","50","GC10M015555","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA8"
"CHRNA5","Cholinergic Receptor Nicotinic Alpha 5 Subunit","Protein Coding","52","GC15P078565","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA5"
"HADH","Hydroxyacyl-CoA Dehydrogenase","Protein Coding","54","GC04P107989","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADH"
"TRH","Thyrotropin Releasing Hormone","Protein Coding","49","GC03P129974","4.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRH"
"DOCK2","Dedicator Of Cytokinesis 2","Protein Coding","52","GC05P169637","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK2"
"CEP55","Centrosomal Protein 55","Protein Coding","47","GC10P093496","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP55"
"AP4M1","Adaptor Related Protein Complex 4 Subunit Mu 1","Protein Coding","45","GC07P100101","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP4M1"
"SMC3","Structural Maintenance Of Chromosomes 3","Protein Coding","52","GC10P110567","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC3"
"PEMT","Phosphatidylethanolamine N-Methyltransferase","Protein Coding","47","GC17M017408","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEMT"
"GNRHR","Gonadotropin Releasing Hormone Receptor","Protein Coding","53","GC04M067737","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRHR"
"SLC30A10","Solute Carrier Family 30 Member 10","Protein Coding","48","GC01M219685","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A10"
"TCN1","Transcobalamin 1","Protein Coding","46","GC11M059871","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCN1"
"SNHG1","Small Nucleolar RNA Host Gene 1","RNA Gene","21","GC11M062911","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG1"
"SETD1A","SET Domain Containing 1A","Protein Coding","46","GC16P030948","4.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD1A"
"ADIPOR2","Adiponectin Receptor 2","Protein Coding","49","GC12P001670","4.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR2"
"ANPEP","Alanyl Aminopeptidase, Membrane","Protein Coding","55","GC15M089784","4.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP"
"HPX","Hemopexin","Protein Coding","44","GC11M006452","4.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPX"
"PGM1","Phosphoglucomutase 1","Protein Coding","53","GC01P063593","4.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGM1"
"HTR4","5-Hydroxytryptamine Receptor 4","Protein Coding","51","GC05M148451","4.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR4"
"ETS2","ETS Proto-Oncogene 2, Transcription Factor","Protein Coding","49","GC21P038805","4.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS2"
"CHRNA1","Cholinergic Receptor Nicotinic Alpha 1 Subunit","Protein Coding","52","GC02M174747","4.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA1"
"CASK","Calcium/Calmodulin Dependent Serine Protein Kinase","Protein Coding","54","GC0XM041514","4.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASK"
"COL12A1","Collagen Type XII Alpha 1 Chain","Protein Coding","49","GC06M075084","4.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL12A1"
"HAVCR2","Hepatitis A Virus Cellular Receptor 2","Protein Coding","49","GC05M157063","4.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR2"
"ECHS1","Enoyl-CoA Hydratase, Short Chain 1","Protein Coding","53","GC10M133362","4.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECHS1"
"MS4A2","Membrane Spanning 4-Domains A2","Protein Coding","49","GC11P060107","4.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A2"
"POLR2L","RNA Polymerase II Subunit L","Protein Coding","45","GC11M000829","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2L"
"TUBA8","Tubulin Alpha 8","Protein Coding","53","GC22P018110","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA8"
"DDOST","Dolichyl-Diphosphooligosaccharide--Protein Glycosyltransferase Non-Catalytic Subunit","Protein Coding","52","GC01M020651","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDOST"
"CYB5A","Cytochrome B5 Type A","Protein Coding","50","GC18M074250","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5A"
"PLA2G3","Phospholipase A2 Group III","Protein Coding","44","GC22M031135","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G3"
"ORAI1","ORAI Calcium Release-Activated Calcium Modulator 1","Protein Coding","50","GC12P122178","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","55","GC11P108121","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"S100A7","S100 Calcium Binding Protein A7","Protein Coding","47","GC01M153430","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7"
"M6PR","Mannose-6-Phosphate Receptor, Cation Dependent","Protein Coding","50","GC12M008984","4.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=M6PR"
"AREG","Amphiregulin","Protein Coding","50","GC04P074445","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AREG"
"SIRT2","Sirtuin 2","Protein Coding","54","GC19M038878","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT2"
"CARD8","Caspase Recruitment Domain Family Member 8","Protein Coding","44","GC19M048181","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD8"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","50","GC14M074498","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"GNAT2","G Protein Subunit Alpha Transducin 2","Protein Coding","52","GC01M109603","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAT2"
"WWC1","WW And C2 Domain Containing 1","Protein Coding","47","GC05P168291","4.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWC1"
"ETS1","ETS Proto-Oncogene 1, Transcription Factor","Protein Coding","55","GC11M128458","4.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1"
"POGZ","Pogo Transposable Element Derived With ZNF Domain","Protein Coding","45","GC01M151375","4.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POGZ"
"EMC1","ER Membrane Protein Complex Subunit 1","Protein Coding","40","GC01M019215","4.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC1"
"SP4","Sp4 Transcription Factor","Protein Coding","47","GC07P021434","4.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP4"
"ATP5F1C","ATP Synthase F1 Subunit Gamma","Protein Coding","34","GC10P007789","4.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1C"
"BMPR1B","Bone Morphogenetic Protein Receptor Type 1B","Protein Coding","57","GC04P094757","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1B"
"GNPAT","Glyceronephosphate O-Acyltransferase","Protein Coding","51","GC01P231241","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPAT"
"DNAH14","Dynein Axonemal Heavy Chain 14","Protein Coding","37","GC01P224896","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH14"
"HIP1","Huntingtin Interacting Protein 1","Protein Coding","49","GC07M075533","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIP1"
"PRKAB1","Protein Kinase AMP-Activated Non-Catalytic Subunit Beta 1","Protein Coding","55","GC12P119632","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAB1"
"MLN","Motilin","Protein Coding","41","GC06M033762","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLN"
"AURKA","Aurora Kinase A","Protein Coding","56","GC20M056370","4.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA"
"CDH2","Cadherin 2","Protein Coding","57","GC18M027950","4.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH2"
"NAT1","N-Acetyltransferase 1","Protein Coding","50","GC08P018180","4.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAT1"
"LMOD3","Leiomodin 3","Protein Coding","45","GC03M069156","4.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD3"
"TCTN3","Tectonic Family Member 3","Protein Coding","46","GC10M095663","4.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCTN3"
"MIR125B1","MicroRNA 125b-1","RNA Gene","20","GC11M122100","4.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1"
"DDB2","Damage Specific DNA Binding Protein 2","Protein Coding","52","GC11P047237","4.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB2"
"UQCRC1","Ubiquinol-Cytochrome C Reductase Core Protein 1","Protein Coding","47","GC03M048598","4.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRC1"
"PROCR","Protein C Receptor","Protein Coding","49","GC20P035171","4.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROCR"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","50","GC07M000497","4.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA"
"TUBB2A","Tubulin Beta 2A Class IIa","Protein Coding","52","GC06M003153","4.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB2A"
"WNT4","Wnt Family Member 4","Protein Coding","53","GC01M022190","4.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4"
"GDI1","GDP Dissociation Inhibitor 1","Protein Coding","49","GC0XP154436","4.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDI1"
"TANGO2","Transport And Golgi Organization 2 Homolog","Protein Coding","39","GC22P020005","4.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TANGO2"
"AP3D1","Adaptor Related Protein Complex 3 Subunit Delta 1","Protein Coding","46","GC19M002101","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP3D1"
"KCNMA1","Potassium Calcium-Activated Channel Subfamily M Alpha 1","Protein Coding","55","GC10M076869","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1"
"QKI","QKI, KH Domain Containing RNA Binding","Protein Coding","49","GC06P163414","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QKI"
"CACNB2","Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2","Protein Coding","54","GC10P018165","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2"
"IARS2","Isoleucyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","45","GC01P220094","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IARS2"
"SLC24A4","Solute Carrier Family 24 Member 4","Protein Coding","49","GC14P092322","4.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A4"
"GCKR","Glucokinase Regulator","Protein Coding","47","GC02P027461","4.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCKR"
"PRKAA2","Protein Kinase AMP-Activated Catalytic Subunit Alpha 2","Protein Coding","57","GC01P056645","4.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2"
"CRLF1","Cytokine Receptor Like Factor 1","Protein Coding","49","GC19M018568","4.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRLF1"
"PTX3","Pentraxin 3","Protein Coding","47","GC03P157436","4.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"LYST","Lysosomal Trafficking Regulator","Protein Coding","46","GC01M235661","4.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYST"
"FAAH","Fatty Acid Amide Hydrolase","Protein Coding","54","GC01P046394","4.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAAH"
"CPE","Carboxypeptidase E","Protein Coding","51","GC04P165361","4.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPE"
"FKBP5","FK506 Binding Protein 5","Protein Coding","51","GC06M038463","4.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP5"
"UGCG","UDP-Glucose Ceramide Glucosyltransferase","Protein Coding","49","GC09P111896","4.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGCG"
"MAZ","MYC Associated Zinc Finger Protein","Protein Coding","44","GC16P029806","4.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAZ"
"FASN","Fatty Acid Synthase","Protein Coding","55","GC17M082078","4.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN"
"TAT","Tyrosine Aminotransferase","Protein Coding","50","GC16M071565","4.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAT"
"CTSS","Cathepsin S","Protein Coding","52","GC01M150702","4.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSS"
"ATCAY","ATCAY, Caytaxin","Protein Coding","45","GC19P003880","4.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATCAY"
"CELF1","CUGBP Elav-Like Family Member 1","Protein Coding","43","GC11M054919","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF1"
"C10orf55","Chromosome 10 Open Reading Frame 55","Protein Coding","32","GC10M073909","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C10orf55"
"CTCF","CCCTC-Binding Factor","Protein Coding","52","GC16P067563","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCF"
"CELF2","CUGBP Elav-Like Family Member 2","Protein Coding","44","GC10P010796","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELF2"
"ASPM","Abnormal Spindle Microtubule Assembly","Protein Coding","43","GC01M197053","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPM"
"KLK11","Kallikrein Related Peptidase 11","Protein Coding","47","GC19M051023","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK11"
"RARS2","Arginyl-TRNA Synthetase 2, Mitochondrial","Protein Coding","47","GC06M087514","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARS2"
"UQCRC2","Ubiquinol-Cytochrome C Reductase Core Protein 2","Protein Coding","52","GC16P021963","4.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRC2"
"UMPS","Uridine Monophosphate Synthetase","Protein Coding","52","GC03P124730","4.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UMPS"
"STMN1","Stathmin 1","Protein Coding","51","GC01M025884","4.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STMN1"
"ITGAX","Integrin Subunit Alpha X","Protein Coding","50","GC16P031366","4.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAX"
"ASCL1","Achaete-Scute Family BHLH Transcription Factor 1","Protein Coding","49","GC12P102957","4.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASCL1"
"UCHL1-AS1","UCHL1 Antisense RNA 1 (Head To Head)","RNA Gene","14","GC04M041223","4.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1-AS1"
"GNAO1","G Protein Subunit Alpha O1","Protein Coding","54","GC16P056231","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAO1"
"CHKA","Choline Kinase Alpha","Protein Coding","48","GC11M068052","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKA"
"TBX3","T-Box 3","Protein Coding","51","GC12M114670","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX3"
"GRIN2D","Glutamate Ionotropic Receptor NMDA Type Subunit 2D","Protein Coding","54","GC19P048394","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2D"
"MYO16","Myosin XVI","Protein Coding","39","GC13P108495","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO16"
"SPON1","Spondin 1","Protein Coding","42","GC11P013940","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPON1"
"XYLT2","Xylosyltransferase 2","Protein Coding","51","GC17P050347","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLT2"
"CKM","Creatine Kinase, M-Type","Protein Coding","52","GC19M045306","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKM"
"SV2A","Synaptic Vesicle Glycoprotein 2A","Protein Coding","50","GC01M149903","4.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SV2A"
"CTNND1","Catenin Delta 1","Protein Coding","52","GC11P057780","4.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNND1"
"MYOCD","Myocardin","Protein Coding","45","GC17P012569","4.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD"
"HSPA1L","Heat Shock Protein Family A (Hsp70) Member 1 Like","Protein Coding","50","GC06M031809","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA1L"
"SEC24C","SEC24 Homolog C, COPII Coat Complex Component","Protein Coding","50","GC10P073744","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC24C"
"ISL1","ISL LIM Homeobox 1","Protein Coding","52","GC05P051383","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISL1"
"TPT1","Tumor Protein, Translationally-Controlled 1","Protein Coding","54","GC13M045333","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPT1"
"TLR7","Toll Like Receptor 7","Protein Coding","53","GC0XP012867","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"TSPAN12","Tetraspanin 12","Protein Coding","49","GC07M120787","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN12"
"KEAP1","Kelch Like ECH Associated Protein 1","Protein Coding","54","GC19M010457","4.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1"
"CISH","Cytokine Inducible SH2 Containing Protein","Protein Coding","51","GC03M050618","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISH"
"NR1I2","Nuclear Receptor Subfamily 1 Group I Member 2","Protein Coding","53","GC03P119780","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2"
"ATXN10","Ataxin 10","Protein Coding","49","GC22P045673","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN10"
"LGI1","Leucine Rich Glioma Inactivated 1","Protein Coding","49","GC10P093757","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGI1"
"CBL","Cbl Proto-Oncogene","Protein Coding","57","GC11P119206","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBL"
"ASL","Argininosuccinate Lyase","Protein Coding","52","GC07P066075","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASL"
"C20orf203","Chromosome 20 Open Reading Frame 203","Protein Coding","26","GC20M032631","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C20orf203"
"GCLC","Glutamate-Cysteine Ligase Catalytic Subunit","Protein Coding","50","GC06M053497","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCLC"
"SCGB1A1","Secretoglobin Family 1A Member 1","Protein Coding","47","GC11P062437","4.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1"
"RNPC3","RNA Binding Region (RNP1, RRM) Containing 3","Protein Coding","39","GC01P103525","4.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPC3"
"PHKG1","Phosphorylase Kinase Catalytic Subunit Gamma 1","Protein Coding","49","GC07M056080","4.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKG1"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","54","GC07P016916","4.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"COX4I2","Cytochrome C Oxidase Subunit 4I2","Protein Coding","47","GC20P031637","4.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX4I2"
